23.90.129.78:443   | 64.252.103.227 | RU | 236ms | CloudFront | 2023-02-28 17:08:03
23.90.151.179:443  | 64.252.98.86   | DE | 261ms | CloudFront | 2023-02-28 17:08:03
23.90.160.199:443  | 64.252.103.227 | NL | 262ms | CloudFront | 2023-02-28 17:08:04
23.90.180.80:443   | 64.252.103.227 | AE | 250ms | CloudFront | 2023-02-28 17:08:05
45.40.59.252:443   | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:08:24
45.40.59.145:443   | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:08:24
45.40.59.155:443   | 64.252.103.227 | HK | 44ms | CloudFront | 2023-02-28 17:08:25
45.40.59.248:443   | 64.252.112.242 | HK | 40ms | CloudFront | 2023-02-28 17:08:25
45.40.59.130:443   | 64.252.112.242 | HK | 42ms | CloudFront | 2023-02-28 17:08:25
45.40.59.101:443   | 64.252.112.242 | HK | 41ms | CloudFront | 2023-02-28 17:08:26
23.251.118.114:443 | 64.252.103.227 | ZA | 343ms | CloudFront | 2023-02-28 17:08:26
45.40.59.100:443   | 64.252.88.1    | HK | 40ms | CloudFront | 2023-02-28 17:08:26
45.40.59.166:443   | 64.252.69.180  | HK | 42ms | CloudFront | 2023-02-28 17:08:26
23.251.118.114:443 | 64.252.103.227 | ZA | 350ms | CloudFront | 2023-02-28 17:08:27
69.28.62.66:443    | 64.252.121.226 | US | 152ms | CloudFront | 2023-02-28 17:08:35
98.98.140.58:443   | 64.252.103.227 | US | 278ms | CloudFront | 2023-02-28 17:08:48
128.1.31.5:443     | 64.252.103.227 | US | 38ms | CloudFront | 2023-02-28 17:09:33
128.1.31.70:443    | 64.252.103.227 | US | 41ms | CloudFront | 2023-02-28 17:09:33
128.1.31.82:443    | 64.252.103.227 | US | 43ms | CloudFront | 2023-02-28 17:09:33
128.1.31.217:443   | 64.252.103.227 | US | 45ms | CloudFront | 2023-02-28 17:09:33
128.1.31.6:443     | 64.252.103.227 | US | 45ms | CloudFront | 2023-02-28 17:09:33
128.1.31.111:443   | 64.252.103.227 | US | 43ms | CloudFront | 2023-02-28 17:09:33
128.1.31.132:443   | 64.252.103.227 | US | 41ms | CloudFront | 2023-02-28 17:09:33
128.1.31.105:443   | 64.252.103.227 | US | 42ms | CloudFront | 2023-02-28 17:09:33
128.1.31.3:443     | 64.252.112.242 | US | 44ms | CloudFront | 2023-02-28 17:09:33
128.1.31.130:443   | 64.252.69.180  | US | 39ms | CloudFront | 2023-02-28 17:09:35
128.1.26.40:443    | 64.252.103.227 | US | 326ms | CloudFront | 2023-02-28 17:09:37
128.1.137.203:443  | 64.252.103.227 | HK | 41ms | CloudFront | 2023-02-28 17:09:42
128.1.31.70:443    | 64.252.103.227 | US | 40ms | CloudFront | 2023-02-28 17:09:52
128.1.31.82:443    | 64.252.103.227 | US | 51ms | CloudFront | 2023-02-28 17:09:52
128.1.31.217:443   | 64.252.103.227 | US | 58ms | CloudFront | 2023-02-28 17:09:52
128.1.31.5:443     | 64.252.103.227 | US | 38ms | CloudFront | 2023-02-28 17:09:52
128.1.31.105:443   | 64.252.103.227 | US | 44ms | CloudFront | 2023-02-28 17:09:52
128.1.31.6:443     | 64.252.103.227 | US | 41ms | CloudFront | 2023-02-28 17:09:52
128.1.31.111:443   | 64.252.103.227 | US | 49ms | CloudFront | 2023-02-28 17:09:52
128.1.31.132:443   | 64.252.103.227 | US | 50ms | CloudFront | 2023-02-28 17:09:52
128.1.31.3:443     | 64.252.112.242 | US | 55ms | CloudFront | 2023-02-28 17:09:53
128.1.31.130:443   | 64.252.69.180  | US | 42ms | CloudFront | 2023-02-28 17:09:54
128.1.225.171:443  | 64.252.103.227 | TW | 415ms | CloudFront | 2023-02-28 17:09:54
128.1.26.40:443    | 64.252.103.227 | US | 346ms | CloudFront | 2023-02-28 17:09:56
128.1.225.171:443  | 64.252.103.227 | TW | 405ms | CloudFront | 2023-02-28 17:10:06
128.14.67.168:443  | 64.252.103.227 | HK | 79ms | CloudFront | 2023-02-28 17:10:08
128.14.67.181:443  | 64.252.103.227 | HK | 71ms | CloudFront | 2023-02-28 17:10:08
128.14.67.7:443    | 64.252.103.227 | HK | 70ms | CloudFront | 2023-02-28 17:10:08
128.14.67.140:443  | 64.252.103.227 | HK | 94ms | CloudFront | 2023-02-28 17:10:08
128.14.67.49:443   | 64.252.103.227 | HK | 63ms | CloudFront | 2023-02-28 17:10:08
128.14.67.112:443  | 64.252.103.227 | HK | 72ms | CloudFront | 2023-02-28 17:10:08
128.14.67.21:443   | 64.252.103.227 | HK | 78ms | CloudFront | 2023-02-28 17:10:08
128.14.67.125:443  | 64.252.103.227 | HK | 70ms | CloudFront | 2023-02-28 17:10:09
128.14.67.246:443  | 64.252.103.227 | HK | 63ms | CloudFront | 2023-02-28 17:10:09
128.14.67.39:443   | 64.252.103.227 | HK | 87ms | CloudFront | 2023-02-28 17:10:09
128.14.67.10:443   | 64.252.103.227 | HK | 55ms | CloudFront | 2023-02-28 17:10:09
128.14.67.53:443   | 64.252.103.227 | HK | 58ms | CloudFront | 2023-02-28 17:10:09
128.14.67.254:443  | 64.252.103.227 | HK | 59ms | CloudFront | 2023-02-28 17:10:10
128.14.67.109:443  | 64.252.103.227 | HK | 43ms | CloudFront | 2023-02-28 17:10:10
128.14.67.148:443  | 64.252.77.156  | HK | 45ms | CloudFront | 2023-02-28 17:10:10
128.14.67.34:443   | 64.252.103.227 | HK | 71ms | CloudFront | 2023-02-28 17:10:10
128.14.67.96:443   | 64.252.88.1    | HK | 43ms | CloudFront | 2023-02-28 17:10:11
128.14.111.121:443 | 64.252.103.227 | US | 339ms | CloudFront | 2023-02-28 17:10:16
128.14.90.243:443  | 64.252.103.227 | US | 304ms | CloudFront | 2023-02-28 17:10:16
128.14.67.39:443   | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:10:17
128.14.67.112:443  | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:10:17
128.14.67.140:443  | 64.252.103.227 | HK | 52ms | CloudFront | 2023-02-28 17:10:17
128.14.67.254:443  | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:10:18
128.14.67.168:443  | 64.252.103.227 | HK | 44ms | CloudFront | 2023-02-28 17:10:18
128.14.67.181:443  | 64.252.103.227 | HK | 45ms | CloudFront | 2023-02-28 17:10:18
128.14.67.21:443   | 64.252.103.227 | HK | 43ms | CloudFront | 2023-02-28 17:10:18
128.14.67.53:443   | 64.252.103.227 | HK | 41ms | CloudFront | 2023-02-28 17:10:18
128.14.67.246:443  | 64.252.103.227 | HK | 39ms | CloudFront | 2023-02-28 17:10:18
128.14.67.10:443   | 64.252.103.227 | HK | 43ms | CloudFront | 2023-02-28 17:10:18
128.14.67.109:443  | 64.252.103.227 | HK | 39ms | CloudFront | 2023-02-28 17:10:18
128.14.67.49:443   | 64.252.103.227 | HK | 45ms | CloudFront | 2023-02-28 17:10:18
128.14.67.34:443   | 64.252.103.227 | HK | 47ms | CloudFront | 2023-02-28 17:10:18
128.14.67.7:443    | 64.252.103.227 | HK | 44ms | CloudFront | 2023-02-28 17:10:18
128.14.67.125:443  | 64.252.103.227 | HK | 41ms | CloudFront | 2023-02-28 17:10:18
128.14.67.148:443  | 64.252.77.156  | HK | 41ms | CloudFront | 2023-02-28 17:10:19
128.14.67.96:443   | 64.252.88.1    | HK | 40ms | CloudFront | 2023-02-28 17:10:20
128.14.90.243:443  | 64.252.103.227 | US | 305ms | CloudFront | 2023-02-28 17:10:26
128.14.111.121:443 | 64.252.103.227 | US | 328ms | CloudFront | 2023-02-28 17:10:30
128.14.199.51:443  | 64.252.103.227 | US | 406ms | CloudFront | 2023-02-28 17:10:32
128.14.67.168:443  | 64.252.103.227 | HK | 53ms | CloudFront | 2023-02-28 17:10:33
128.14.67.21:443   | 64.252.103.227 | HK | 42ms | CloudFront | 2023-02-28 17:10:33
128.14.67.112:443  | 64.252.103.227 | HK | 74ms | CloudFront | 2023-02-28 17:10:33
128.14.67.109:443  | 64.252.103.227 | HK | 48ms | CloudFront | 2023-02-28 17:10:33
