23.251.99.249:443  | 172.69.134.196 | US | 164ms | cloudflare | 2023-04-28 00:04:28
23.251.99.249:443  | 172.71.158.142 | US | 164ms | cloudflare | 2023-04-28 00:04:29
45.40.59.195:443   | 162.158.179.48 | HK | 40ms | cloudflare | 2023-04-28 00:04:32
128.14.142.184:443 | 172.70.211.213 | US | 0ms | cloudflare | 2023-04-28 00:06:34
128.14.140.254:443 | 162.158.187.11 | US | 0ms | cloudflare | 2023-04-28 00:06:34
128.14.162.48:443  | 162.158.91.78  | US | 0ms | cloudflare | 2023-04-28 00:06:38
128.14.140.254:443 | 162.158.90.187 | US | 0ms | cloudflare | 2023-04-28 00:06:49
128.14.142.184:443 | 172.70.207.153 | US | 0ms | cloudflare | 2023-04-28 00:06:49
128.14.142.184:443 | 162.158.90.187 | US | 0ms | cloudflare | 2023-04-28 00:06:51
128.14.199.27:443  | 172.71.223.55  | US | 219ms | cloudflare | 2023-04-28 00:06:55
129.227.5.68:443   | 172.69.23.41   | KR | 118ms | cloudflare | 2023-04-28 00:06:59
156.59.125.36:443  | 172.71.214.105 | SG | 39ms | cloudflare | 2023-04-28 00:07:44
192.169.127.184:443 | 172.71.154.59  | JP | 52ms | cloudflare | 2023-04-28 00:08:14
