23.106.141.7:443   | 141.101.86.46  | JP | 256ms | cloudflare | 2023-09-20 00:59:43
64.64.234.9:443    | 172.69.33.187  | US | 157ms | cloudflare | 2023-09-20 00:59:56
65.49.218.220:443  | 172.70.206.179 | US | 201ms | cloudflare | 2023-09-20 01:00:02
64.64.242.83:443   | 172.70.214.68  | US | 196ms | cloudflare | 2023-09-20 01:00:04
74.120.170.96:443  | 162.158.91.28  | US | 151ms | cloudflare | 2023-09-20 01:00:22
74.211.111.120:443 | 172.70.214.109 | US | 153ms | cloudflare | 2023-09-20 01:00:28
74.211.111.4:443   | 172.70.211.207 | US | 169ms | cloudflare | 2023-09-20 01:00:30
89.208.243.4:443   | 172.70.211.104 | US | 148ms | cloudflare | 2023-09-20 01:00:32
95.169.24.76:443   | 172.70.214.181 | US | 149ms | cloudflare | 2023-09-20 01:00:44
98.142.139.61:443  | 172.70.210.84  | US | 169ms | cloudflare | 2023-09-20 01:00:54
104.194.75.95:443  | 172.69.34.7    | US | 178ms | cloudflare | 2023-09-20 01:00:59
