45.40.59.82:443    | 64.252.71.7    | HK | 52ms | CloudFront | 2023-12-15 23:43:31
69.28.62.66:443    | 64.252.118.131 | US | 166ms | CloudFront | 2023-12-15 23:43:42
128.1.31.37:443    | 64.252.71.7    | US | 46ms | CloudFront | 2023-12-15 23:44:53
128.1.31.37:443    | 64.252.71.7    | US | 46ms | CloudFront | 2023-12-15 23:45:11
128.14.67.148:443  | 64.252.67.186  | HK | 57ms | CloudFront | 2023-12-15 23:45:28
128.14.67.148:443  | 64.252.67.186  | HK | 56ms | CloudFront | 2023-12-15 23:45:37
128.14.67.148:443  | 64.252.67.186  | HK | 57ms | CloudFront | 2023-12-15 23:45:52
129.227.153.9:443  | 64.252.71.7    | HK | 47ms | CloudFront | 2023-12-15 23:46:19
129.227.153.9:443  | 64.252.71.7    | HK | 47ms | CloudFront | 2023-12-15 23:46:28
156.59.90.86:443   | 64.252.72.186  | CN | 47ms | CloudFront | 2023-12-15 23:46:58
156.59.153.86:443  | 64.252.72.186  | HK | 65ms | CloudFront | 2023-12-15 23:47:05
192.169.127.242:443 | 64.252.113.53  | JP | 52ms | CloudFront | 2023-12-15 23:47:29
