45.62.121.154:443  | 64.252.86.100  | NL | 242ms | CloudFront | 2024-01-23 11:40:46
67.218.150.75:443  | 64.252.70.7    | US | 172ms | CloudFront | 2024-01-23 11:41:04
74.121.148.224:443 | 64.252.66.61   | US | 234ms | CloudFront | 2024-01-23 11:41:12
98.142.141.121:443 | 64.252.70.7    | US | 157ms | CloudFront | 2024-01-23 11:41:29
104.244.91.82:443  | 64.252.66.61   | US | 245ms | CloudFront | 2024-01-23 11:41:47
172.93.32.136:443  | 64.252.70.7    | CA | 164ms | CloudFront | 2024-01-23 11:42:06
172.93.32.88:443   | 64.252.70.7    | CA | 170ms | CloudFront | 2024-01-23 11:42:06
172.93.32.87:443   | 64.252.70.7    | CA | 181ms | CloudFront | 2024-01-23 11:42:06
162.219.121.53:443 | 64.252.70.7    | US | 176ms | CloudFront | 2024-01-23 11:42:06
172.93.41.189:443  | 64.252.70.7    | US | 157ms | CloudFront | 2024-01-23 11:42:06
172.93.32.223:443  | 64.252.105.113 | CA | 173ms | CloudFront | 2024-01-23 11:42:08
172.93.32.109:443  | 64.252.105.113 | CA | 185ms | CloudFront | 2024-01-23 11:42:08
212.50.232.244:443 | 64.252.111.82  | JP | 81ms | CloudFront | 2024-01-23 11:42:32
