89.168.118.178:443 | 64.252.88.152  |  | 284ms | CloudFront | 2023-09-11 03:13:20
138.2.137.4:443    | 64.252.88.152  |  | 0ms | CloudFront | 2023-09-11 03:29:39
138.2.168.190:443  | 64.252.88.152  |  | 0ms | CloudFront | 2023-09-11 03:29:43
140.83.32.212:443  | 64.252.110.108 |  | 105ms | CloudFront | 2023-09-11 03:30:14
140.83.32.55:443   | 64.252.110.108 |  | 86ms | CloudFront | 2023-09-11 03:30:17
140.83.61.253:443  | 64.252.110.108 |  | 174ms | CloudFront | 2023-09-11 03:30:20
140.83.84.248:443  | 64.252.110.108 |  | 174ms | CloudFront | 2023-09-11 03:30:20
140.83.33.56:443   | 64.252.110.108 |  | 86ms | CloudFront | 2023-09-11 03:30:22
132.226.154.222:443 | 64.252.73.98   |  | 182ms | CloudFront | 2023-09-11 03:30:23
140.238.1.240:443  | 13.124.199.190 |  | 97ms | CloudFront | 2023-09-11 03:31:11
140.238.1.240:443  | 13.124.199.190 |  | 84ms | CloudFront | 2023-09-11 03:31:19
140.238.34.107:443 | 64.252.110.108 |  | 88ms | CloudFront | 2023-09-11 03:31:22
140.238.60.185:443 | 64.252.110.108 |  | 0ms | CloudFront | 2023-09-11 03:31:23
140.238.76.93:443  | 64.252.84.127  |  | 270ms | CloudFront | 2023-09-11 03:31:27
140.238.79.104:443 | 64.252.84.127  |  | 270ms | CloudFront | 2023-09-11 03:31:27
140.238.68.120:443 | 64.252.84.127  |  | 251ms | CloudFront | 2023-09-11 03:31:27
140.238.69.34:443  | 64.252.84.127  |  | 267ms | CloudFront | 2023-09-11 03:31:28
140.238.90.119:443 | 64.252.84.127  |  | 0ms | CloudFront | 2023-09-11 03:31:28
140.238.9.147:443  | 64.252.73.98   |  | 245ms | CloudFront | 2023-09-11 03:31:28
140.238.90.231:443 | 64.252.84.127  |  | 248ms | CloudFront | 2023-09-11 03:31:28
140.238.75.195:443 | 64.252.84.127  |  | 250ms | CloudFront | 2023-09-11 03:31:29
140.238.75.139:443 | 64.252.84.127  |  | 255ms | CloudFront | 2023-09-11 03:31:29
140.238.76.93:443  | 64.252.84.127  |  | 273ms | CloudFront | 2023-09-11 03:31:29
140.238.72.198:443 | 64.252.84.127  |  | 260ms | CloudFront | 2023-09-11 03:31:31
140.238.92.4:443   | 64.252.114.200 |  | 282ms | CloudFront | 2023-09-11 03:31:31
140.238.68.120:443 | 64.252.84.127  |  | 248ms | CloudFront | 2023-09-11 03:31:31
140.238.87.147:443 | 64.252.84.127  |  | 259ms | CloudFront | 2023-09-11 03:31:32
140.238.79.181:443 | 64.252.84.127  |  | 250ms | CloudFront | 2023-09-11 03:31:33
140.238.79.45:443  | 64.252.84.127  |  | 250ms | CloudFront | 2023-09-11 03:31:33
140.238.79.89:443  | 64.252.84.127  |  | 256ms | CloudFront | 2023-09-11 03:31:33
140.238.103.15:443 | 64.252.84.127  |  | 255ms | CloudFront | 2023-09-11 03:31:34
140.238.79.170:443 | 64.252.114.200 |  | 270ms | CloudFront | 2023-09-11 03:31:34
140.238.90.119:443 | 64.252.84.127  |  | 0ms | CloudFront | 2023-09-11 03:31:35
140.238.99.254:443 | 64.252.114.200 |  | 247ms | CloudFront | 2023-09-11 03:31:35
140.238.99.193:443 | 64.252.84.127  |  | 251ms | CloudFront | 2023-09-11 03:31:35
140.238.93.85:443  | 64.252.84.127  |  | 257ms | CloudFront | 2023-09-11 03:31:35
140.238.99.193:443 | 64.252.84.127  |  | 250ms | CloudFront | 2023-09-11 03:31:36
140.238.100.71:443 | 64.252.84.127  |  | 249ms | CloudFront | 2023-09-11 03:31:36
140.238.92.4:443   | 64.252.114.200 |  | 286ms | CloudFront | 2023-09-11 03:31:36
140.238.96.116:443 | 64.252.84.127  |  | 253ms | CloudFront | 2023-09-11 03:31:36
140.238.99.254:443 | 64.252.114.200 |  | 246ms | CloudFront | 2023-09-11 03:31:37
140.238.100.71:443 | 64.252.84.127  |  | 247ms | CloudFront | 2023-09-11 03:31:37
140.238.99.193:443 | 64.252.84.127  |  | 252ms | CloudFront | 2023-09-11 03:31:37
140.238.99.254:443 | 64.252.114.200 |  | 247ms | CloudFront | 2023-09-11 03:31:37
140.238.96.220:443 | 64.252.84.127  |  | 248ms | CloudFront | 2023-09-11 03:31:37
140.238.102.23:443 | 64.252.84.127  |  | 246ms | CloudFront | 2023-09-11 03:31:37
140.238.101.135:443 | 64.252.84.127  |  | 260ms | CloudFront | 2023-09-11 03:31:37
140.238.96.242:443 | 64.252.84.127  |  | 252ms | CloudFront | 2023-09-11 03:31:38
140.238.96.220:443 | 64.252.84.127  |  | 248ms | CloudFront | 2023-09-11 03:31:38
140.238.98.15:443  | 64.252.84.127  |  | 247ms | CloudFront | 2023-09-11 03:31:38
140.238.97.80:443  | 64.252.84.127  |  | 247ms | CloudFront | 2023-09-11 03:31:39
140.238.102.23:443 | 64.252.84.127  |  | 254ms | CloudFront | 2023-09-11 03:31:39
140.238.102.16:443 | 64.252.84.127  |  | 252ms | CloudFront | 2023-09-11 03:31:39
140.238.73.123:443 | 64.252.84.127  |  | 259ms | CloudFront | 2023-09-11 03:31:39
140.238.96.242:443 | 64.252.84.127  |  | 249ms | CloudFront | 2023-09-11 03:31:41
140.238.97.80:443  | 64.252.84.127  |  | 255ms | CloudFront | 2023-09-11 03:31:41
140.238.98.15:443  | 64.252.84.127  |  | 251ms | CloudFront | 2023-09-11 03:31:43
140.238.96.116:443 | 64.252.84.127  |  | 267ms | CloudFront | 2023-09-11 03:31:50
144.24.91.247:443  | 13.124.199.190 |  | 132ms | CloudFront | 2023-09-11 03:35:49
146.56.145.21:443  | 13.124.199.190 |  | 0ms | CloudFront | 2023-09-11 03:36:53
158.180.17.84:443  | 64.252.88.152  |  | 277ms | CloudFront | 2023-09-11 03:46:58
158.180.18.93:443  | 64.252.88.152  |  | 276ms | CloudFront | 2023-09-11 03:46:58
158.180.20.123:443 | 64.252.88.152  |  | 284ms | CloudFront | 2023-09-11 03:46:58
158.180.21.140:443 | 64.252.88.152  |  | 277ms | CloudFront | 2023-09-11 03:46:58
158.180.18.76:443  | 64.252.88.152  |  | 279ms | CloudFront | 2023-09-11 03:46:58
158.180.18.63:443  | 64.252.88.152  |  | 307ms | CloudFront | 2023-09-11 03:46:58
158.180.25.9:443   | 64.252.88.152  |  | 278ms | CloudFront | 2023-09-11 03:46:58
158.180.25.6:443   | 64.252.88.152  |  | 276ms | CloudFront | 2023-09-11 03:46:58
158.180.28.33:443  | 64.252.88.152  |  | 280ms | CloudFront | 2023-09-11 03:47:13
158.180.94.66:443  | 13.124.199.190 |  | 150ms | CloudFront | 2023-09-11 03:47:23
193.122.6.38:443   | 64.252.88.152  |  | 0ms | CloudFront | 2023-09-11 03:52:34
193.122.54.63:443  | 64.252.88.152  |  | 286ms | CloudFront | 2023-09-11 03:52:41
193.122.60.72:443  | 64.252.88.152  |  | 284ms | CloudFront | 2023-09-11 03:52:47
193.122.110.163:443 | 13.124.199.190 |  | 90ms | CloudFront | 2023-09-11 03:52:51
193.122.114.36:443 | 13.124.199.190 |  | 67ms | CloudFront | 2023-09-11 03:52:55
193.122.105.10:443 | 13.124.199.190 |  | 81ms | CloudFront | 2023-09-11 03:52:57
193.122.113.246:443 | 13.124.199.190 |  | 79ms | CloudFront | 2023-09-11 03:52:58
193.122.113.246:443 | 13.124.199.190 |  | 71ms | CloudFront | 2023-09-11 03:52:58
193.122.116.101:443 | 13.124.199.190 |  | 82ms | CloudFront | 2023-09-11 03:53:00
193.122.96.159:443 | 13.124.199.190 |  | 75ms | CloudFront | 2023-09-11 03:53:03
193.122.116.180:443 | 13.124.199.190 |  | 82ms | CloudFront | 2023-09-11 03:53:03
193.122.115.195:443 | 13.124.199.190 |  | 159ms | CloudFront | 2023-09-11 03:53:03
193.122.101.42:443 | 64.252.88.152  |  | 401ms | CloudFront | 2023-09-11 03:53:04
193.122.108.65:443 | 13.124.199.190 |  | 0ms | CloudFront | 2023-09-11 03:53:05
193.122.117.175:443 | 64.252.122.179 |  | 274ms | CloudFront | 2023-09-11 03:53:05
193.123.230.222:443 | 13.124.199.190 |  | 87ms | CloudFront | 2023-09-11 03:53:34
193.123.241.168:443 | 13.124.199.190 |  | 0ms | CloudFront | 2023-09-11 03:53:36
193.123.254.215:443 | 13.124.199.190 |  | 90ms | CloudFront | 2023-09-11 03:53:36
193.123.229.125:443 | 13.124.199.190 |  | 89ms | CloudFront | 2023-09-11 03:53:36
