37.123.192.227:443 | 64.252.71.7    | US | 290ms | CloudFront | 2023-12-14 23:50:07
31.25.88.129:443   | 64.252.88.177  | DE | 0ms | CloudFront | 2023-12-14 23:50:08
31.25.88.164:443   | 64.252.88.177  | DE | 0ms | CloudFront | 2023-12-14 23:50:08
38.59.246.80:443   | 64.252.71.7    | US | 161ms | CloudFront | 2023-12-14 23:50:09
37.123.194.125:443 | 64.252.72.186  | US | 155ms | CloudFront | 2023-12-14 23:50:09
37.123.194.119:443 | 64.252.118.131 | US | 167ms | CloudFront | 2023-12-14 23:50:09
37.123.192.227:443 | 64.252.72.186  | US | 202ms | CloudFront | 2023-12-14 23:50:09
37.123.192.227:443 | 64.252.72.186  | US | 202ms | CloudFront | 2023-12-14 23:50:09
45.9.8.199:443     | 64.252.72.186  | US | 178ms | CloudFront | 2023-12-14 23:50:11
38.59.246.80:443   | 64.252.72.186  | US | 180ms | CloudFront | 2023-12-14 23:50:11
38.59.245.253:443  | 64.252.72.186  | US | 165ms | CloudFront | 2023-12-14 23:50:11
45.9.8.199:443     | 64.252.72.186  | US | 175ms | CloudFront | 2023-12-14 23:50:12
38.59.246.59:443   | 64.252.118.131 | US | 171ms | CloudFront | 2023-12-14 23:50:12
38.59.246.59:443   | 64.252.118.131 | US | 162ms | CloudFront | 2023-12-14 23:50:15
104.249.172.113:443 | 64.252.72.186  | US | 188ms | CloudFront | 2023-12-14 23:50:17
185.148.13.36:443  | 64.252.72.186  | US | 174ms | CloudFront | 2023-12-14 23:50:18
104.249.172.113:443 | 64.252.72.186  | US | 191ms | CloudFront | 2023-12-14 23:50:18
185.218.7.192:443  | 64.252.118.131 | US | 158ms | CloudFront | 2023-12-14 23:50:20
104.249.172.113:443 | 64.252.72.186  | US | 199ms | CloudFront | 2023-12-14 23:50:22
185.212.60.105:443 | 64.252.88.177  | NL | 183ms | CloudFront | 2023-12-14 23:50:22
185.212.60.105:443 | 64.252.88.177  | NL | 183ms | CloudFront | 2023-12-14 23:50:22
