8.209.251.85:443   | 64.252.113.53  | JP | 118ms | CloudFront | 2023-12-31 00:03:06
8.210.45.179:443   | 64.252.104.154 | HK | 56ms | CloudFront | 2023-12-31 00:03:19
8.210.40.130:443   | 64.252.104.154 | HK | 50ms | CloudFront | 2023-12-31 00:03:27
8.210.56.194:443   | 64.252.103.155 | HK | 48ms | CloudFront | 2023-12-31 00:03:33
8.210.83.22:443    | 64.252.103.155 | HK | 61ms | CloudFront | 2023-12-31 00:03:44
8.210.40.130:443   | 64.252.103.155 | HK | 54ms | CloudFront | 2023-12-31 00:04:06
8.210.45.179:443   | 64.252.103.155 | HK | 85ms | CloudFront | 2023-12-31 00:04:16
8.210.56.194:443   | 64.252.103.155 | HK | 49ms | CloudFront | 2023-12-31 00:04:22
8.210.83.22:443    | 64.252.105.239 | HK | 49ms | CloudFront | 2023-12-31 00:04:29
8.210.190.132:443  | 64.252.103.155 | HK | 49ms | CloudFront | 2023-12-31 00:05:02
8.210.195.176:443  | 64.252.103.155 | HK | 0ms | CloudFront | 2023-12-31 00:05:03
8.210.251.220:443  | 64.252.102.189 | HK | 49ms | CloudFront | 2023-12-31 00:05:32
8.210.190.132:443  | 64.252.103.155 | HK | 53ms | CloudFront | 2023-12-31 00:05:56
8.210.195.176:443  | 64.252.103.155 | HK | 0ms | CloudFront | 2023-12-31 00:05:57
8.212.13.39:443    | 64.252.105.239 | HK | 61ms | CloudFront | 2023-12-31 00:07:06
8.212.1.59:443     | 64.252.71.7    | HK | 68ms | CloudFront | 2023-12-31 00:07:06
8.212.20.167:443   | 64.252.71.7    | HK | 52ms | CloudFront | 2023-12-31 00:07:06
8.212.16.19:443    | 64.252.71.7    | HK | 59ms | CloudFront | 2023-12-31 00:07:08
8.212.54.144:443   | 64.252.102.189 | HK | 52ms | CloudFront | 2023-12-31 00:07:11
8.212.1.59:443     | 64.252.71.7    | HK | 68ms | CloudFront | 2023-12-31 00:07:14
8.212.13.39:443    | 64.252.102.189 | HK | 61ms | CloudFront | 2023-12-31 00:07:21
8.212.16.19:443    | 64.252.71.7    | HK | 63ms | CloudFront | 2023-12-31 00:07:22
8.212.20.167:443   | 64.252.71.7    | HK | 50ms | CloudFront | 2023-12-31 00:07:22
8.212.54.144:443   | 64.252.102.192 | HK | 52ms | CloudFront | 2023-12-31 00:07:29
8.216.129.160:443  | 64.252.104.154 | SG | 76ms | CloudFront | 2023-12-31 00:11:18
8.216.130.92:443   | 64.252.104.154 | SG | 79ms | CloudFront | 2023-12-31 00:11:18
8.216.130.173:443  | 64.252.104.154 | SG | 65ms | CloudFront | 2023-12-31 00:11:18
8.216.129.115:443  | 64.252.104.154 | SG | 65ms | CloudFront | 2023-12-31 00:11:18
8.216.129.63:443   | 64.252.104.154 | SG | 75ms | CloudFront | 2023-12-31 00:11:18
8.216.129.127:443  | 64.252.104.154 | SG | 79ms | CloudFront | 2023-12-31 00:11:18
8.216.128.174:443  | 64.252.104.154 | SG | 76ms | CloudFront | 2023-12-31 00:11:18
8.216.131.170:443  | 64.252.104.154 | SG | 82ms | CloudFront | 2023-12-31 00:11:18
8.216.131.110:443  | 64.252.104.154 | SG | 79ms | CloudFront | 2023-12-31 00:11:18
