154.17.1.157:443   | 64.252.71.7    | US | 158ms | CloudFront | 2023-12-19 23:48:33
154.17.0.31:443    | 64.252.71.7    | US | 154ms | CloudFront | 2023-12-19 23:48:33
154.3.36.140:443   | 64.252.104.154 | HK | 103ms | CloudFront | 2023-12-19 23:48:34
103.117.103.34:443 | 64.252.113.53  | JP | 58ms | CloudFront | 2023-12-19 23:48:36
193.110.201.167:443 | 64.252.104.154 | HK | 45ms | CloudFront | 2023-12-19 23:48:36
193.110.201.167:443 | 64.252.104.154 | HK | 47ms | CloudFront | 2023-12-19 23:48:36
193.110.202.22:443 | 64.252.104.154 | HK | 47ms | CloudFront | 2023-12-19 23:48:36
154.17.1.93:443    | 64.252.118.131 | US | 151ms | CloudFront | 2023-12-19 23:48:37
193.110.202.22:443 | 64.252.104.154 | HK | 47ms | CloudFront | 2023-12-19 23:48:37
193.110.203.194:443 | 64.252.104.154 | HK | 47ms | CloudFront | 2023-12-19 23:48:39
193.110.203.212:443 | 64.252.104.154 | HK | 49ms | CloudFront | 2023-12-19 23:48:39
193.110.203.179:443 | 64.252.104.154 | HK | 47ms | CloudFront | 2023-12-19 23:48:39
154.17.31.242:443  | 64.252.71.7    | US | 147ms | CloudFront | 2023-12-19 23:48:39
154.17.19.103:443  | 64.252.75.51   | US | 0ms | CloudFront | 2023-12-19 23:48:40
154.17.14.96:443   | 64.252.71.7    | US | 156ms | CloudFront | 2023-12-19 23:48:40
154.3.34.150:443   | 64.252.104.154 | HK | 100ms | CloudFront | 2023-12-19 23:48:43
