80.240.124.8:443   | 80.240.124.7   | BR | 278ms | 2023-02-12 15:11:20
80.240.124.62:443  | 80.240.124.7   | BR | 278ms | 2023-02-12 15:11:21
170.238.234.217:443 | 170.238.234.217 | BR | 318ms | 2023-02-12 15:11:22
95.85.92.5:443     | 95.85.92.4     | BR | 321ms | 2023-02-12 15:11:22
92.223.12.11:443   | 92.223.12.6    | BR | 337ms | 2023-02-12 15:11:22
80.240.124.61:443  | 80.240.124.7   | BR | 279ms | 2023-02-12 15:11:22
80.240.124.4:443   | 80.240.124.7   | BR | 278ms | 2023-02-12 15:11:23
95.85.92.4:443     | 95.85.92.4     | BR | 322ms | 2023-02-12 15:11:24
95.85.92.6:443     | 95.85.92.4     | BR | 332ms | 2023-02-12 15:11:24
92.223.12.12:443   | 92.223.12.6    | BR | 343ms | 2023-02-12 15:11:24
95.85.92.7:443     | 95.85.92.4     | BR | 345ms | 2023-02-12 15:11:24
92.223.12.4:443    | 92.223.12.6    | BR | 338ms | 2023-02-12 15:11:24
80.240.124.5:443   | 80.240.124.7   | BR | 286ms | 2023-02-12 15:11:24
80.240.124.9:443   | 80.240.124.7   | BR | 279ms | 2023-02-12 15:11:24
95.85.92.8:443     | 95.85.92.4     | BR | 314ms | 2023-02-12 15:11:24
80.240.124.6:443   | 80.240.124.7   | BR | 279ms | 2023-02-12 15:11:25
92.223.12.13:443   | 92.223.12.6    | BR | 330ms | 2023-02-12 15:11:25
80.240.124.7:443   | 80.240.124.7   | BR | 277ms | 2023-02-12 15:11:25
92.223.12.5:443    | 92.223.12.6    | BR | 340ms | 2023-02-12 15:11:26
92.223.12.7:443    | 92.223.12.6    | BR | 349ms | 2023-02-12 15:11:26
95.85.92.62:443    | 95.85.92.4     | BR | 345ms | 2023-02-12 15:11:26
92.223.12.9:443    | 92.223.12.6    | BR | 350ms | 2023-02-12 15:11:27
92.223.12.30:443   | 92.223.12.6    | BR | 347ms | 2023-02-12 15:11:27
92.223.12.10:443   | 92.223.12.6    | BR | 332ms | 2023-02-12 15:11:28
92.223.12.8:443    | 92.223.12.6    | BR | 340ms | 2023-02-12 15:11:28
92.223.12.6:443    | 92.223.12.6    | BR | 328ms | 2023-02-12 15:11:29
