5.101.222.5:443    | 5.101.222.5    | LU | 222ms | 2023-02-28 03:38:13
92.223.68.30:443   | 92.223.68.22   | LU | 209ms | 2023-02-28 03:38:13
5.8.92.62:443      | 5.8.92.6       | LU | 195ms | 2023-02-28 03:38:13
92.38.159.4:443    | 92.38.159.5    | LU | 202ms | 2023-02-28 03:38:13
92.223.68.22:443   | 92.223.68.22   | LU | 221ms | 2023-02-28 03:38:14
92.38.159.4:443    | 92.38.159.5    | LU | 202ms | 2023-02-28 03:38:14
5.101.217.4:443    | 5.101.217.4    | LU | 303ms | 2023-02-28 03:38:14
95.85.69.6:443     | 95.85.69.7     | LU | 295ms | 2023-02-28 03:38:14
5.101.219.5:443    | 5.101.219.6    | LU | 300ms | 2023-02-28 03:38:14
92.223.112.28:443  | 92.223.112.28  | LU | 268ms | 2023-02-28 03:38:14
92.38.142.20:443   | 92.38.142.23   | LU | 291ms | 2023-02-28 03:38:14
92.223.78.30:443   | 92.223.78.23   | LU | 292ms | 2023-02-28 03:38:14
79.133.108.16:443  | 79.133.108.8   | LU | 334ms | 2023-02-28 03:38:14
95.85.92.7:443     | 95.85.92.4     | LU | 337ms | 2023-02-28 03:38:14
91.243.87.5:443    | 91.243.87.4    | LU | 308ms | 2023-02-28 03:38:14
5.188.132.5:443    | 5.188.132.5    | LU | 355ms | 2023-02-28 03:38:14
95.85.93.62:443    | 95.85.93.4     | LU | 313ms | 2023-02-28 03:38:15
92.223.12.6:443    | 92.223.12.6    | LU | 344ms | 2023-02-28 03:38:15
146.185.221.190:443 | 146.185.221.132 | LU | 319ms | 2023-02-28 03:38:15
92.38.142.30:443   | 92.38.142.23   | LU | 290ms | 2023-02-28 03:38:15
95.85.69.7:443     | 95.85.69.7     | LU | 292ms | 2023-02-28 03:38:15
78.111.101.62:443  | 78.111.101.4   | LU | 403ms | 2023-02-28 03:38:15
92.223.112.12:443  | 92.223.112.28  | LU | 266ms | 2023-02-28 03:38:15
95.85.92.62:443    | 95.85.92.4     | LU | 336ms | 2023-02-28 03:38:15
5.188.133.11:443   | 5.188.133.11   | LU | 411ms | 2023-02-28 03:38:15
91.243.87.62:443   | 91.243.87.4    | LU | 232ms | 2023-02-28 03:38:15
79.133.108.17:443  | 79.133.108.8   | LU | 317ms | 2023-02-28 03:38:15
5.189.207.4:443    | 5.189.207.5    | LU | 333ms | 2023-02-28 03:38:16
92.223.12.7:443    | 92.223.12.6    | LU | 344ms | 2023-02-28 03:38:16
5.188.132.14:443   | 5.188.132.5    | LU | 369ms | 2023-02-28 03:38:16
95.85.69.62:443    | 95.85.69.7     | LU | 295ms | 2023-02-28 03:38:16
92.38.142.24:443   | 92.38.142.23   | LU | 288ms | 2023-02-28 03:38:16
92.223.112.62:443  | 92.223.112.28  | LU | 273ms | 2023-02-28 03:38:16
92.223.12.10:443   | 92.223.12.6    | LU | 352ms | 2023-02-28 03:38:16
95.85.92.6:443     | 95.85.92.4     | LU | 345ms | 2023-02-28 03:38:16
79.133.108.7:443   | 79.133.108.8   | LU | 343ms | 2023-02-28 03:38:16
78.111.101.61:443  | 78.111.101.4   | LU | 399ms | 2023-02-28 03:38:16
5.188.133.10:443   | 5.188.133.11   | LU | 425ms | 2023-02-28 03:38:17
92.223.12.12:443   | 92.223.12.6    | LU | 346ms | 2023-02-28 03:38:17
92.38.142.29:443   | 92.38.142.23   | LU | 279ms | 2023-02-28 03:38:17
95.85.69.61:443    | 95.85.69.7     | LU | 298ms | 2023-02-28 03:38:17
95.85.92.5:443     | 95.85.92.4     | LU | 331ms | 2023-02-28 03:38:17
79.133.108.10:443  | 79.133.108.8   | LU | 351ms | 2023-02-28 03:38:17
92.223.12.13:443   | 92.223.12.6    | LU | 336ms | 2023-02-28 03:38:18
78.111.101.4:443   | 78.111.101.4   | LU | 391ms | 2023-02-28 03:38:18
92.223.12.4:443    | 92.223.12.6    | LU | 351ms | 2023-02-28 03:38:18
92.38.142.23:443   | 92.38.142.23   | LU | 299ms | 2023-02-28 03:38:18
95.85.92.8:443     | 95.85.92.4     | LU | 315ms | 2023-02-28 03:38:18
79.133.108.14:443  | 79.133.108.8   | LU | 302ms | 2023-02-28 03:38:18
95.85.93.4:443     | 95.85.93.4     | LU | 0ms | 2023-02-28 03:38:18
79.133.108.6:443   | 79.133.108.8   | LU | 308ms | 2023-02-28 03:38:19
5.189.207.5:443    | 5.189.207.5    | LU | 336ms | 2023-02-28 03:38:19
92.38.142.25:443   | 92.38.142.23   | LU | 310ms | 2023-02-28 03:38:19
92.223.12.30:443   | 92.223.12.6    | LU | 331ms | 2023-02-28 03:38:19
95.85.92.4:443     | 95.85.92.4     | LU | 316ms | 2023-02-28 03:38:19
79.133.108.5:443   | 79.133.108.8   | LU | 294ms | 2023-02-28 03:38:19
92.223.12.8:443    | 92.223.12.6    | LU | 343ms | 2023-02-28 03:38:20
79.133.108.8:443   | 79.133.108.8   | LU | 309ms | 2023-02-28 03:38:20
92.223.12.5:443    | 92.223.12.6    | LU | 360ms | 2023-02-28 03:38:21
79.133.108.62:443  | 79.133.108.8   | LU | 320ms | 2023-02-28 03:38:21
92.223.12.11:443   | 92.223.12.6    | LU | 350ms | 2023-02-28 03:38:22
79.133.108.4:443   | 79.133.108.8   | LU | 302ms | 2023-02-28 03:38:22
5.189.207.14:443   | 5.189.207.5    | LU | 333ms | 2023-02-28 03:38:23
79.133.108.9:443   | 79.133.108.8   | LU | 301ms | 2023-02-28 03:38:23
92.223.12.9:443    | 92.223.12.6    | LU | 325ms | 2023-02-28 03:38:23
