5.188.7.12:443     | 5.188.7.12     | RU | 310ms | 2023-02-28 03:49:44
92.223.123.32:443  | 92.223.123.40  | RU | 256ms | 2023-02-28 03:49:44
5.8.43.4:443       | 5.8.43.5       | RU | 230ms | 2023-02-28 03:49:44
5.188.7.13:443     | 5.188.7.12     | RU | 300ms | 2023-02-28 03:49:44
92.223.123.47:443  | 92.223.123.40  | RU | 259ms | 2023-02-28 03:49:45
92.223.123.20:443  | 92.223.123.40  | RU | 255ms | 2023-02-28 03:49:46
92.223.123.62:443  | 92.223.123.40  | RU | 256ms | 2023-02-28 03:49:47
92.223.123.40:443  | 92.223.123.40  | RU | 278ms | 2023-02-28 03:49:48
92.223.123.33:443  | 92.223.123.40  | RU | 252ms | 2023-02-28 03:49:49
92.223.123.15:443  | 92.223.123.40  | RU | 251ms | 2023-02-28 03:49:50
92.223.123.45:443  | 92.223.123.40  | RU | 278ms | 2023-02-28 03:49:51
92.223.123.48:443  | 92.223.123.40  | RU | 252ms | 2023-02-28 03:49:51
92.223.123.12:443  | 92.223.123.40  | RU | 284ms | 2023-02-28 03:49:53
92.223.123.10:443  | 92.223.123.51  | RU | 274ms | 2023-02-28 03:49:54
92.223.123.46:443  | 92.223.123.51  | RU | 279ms | 2023-02-28 03:49:55
92.223.123.51:443  | 92.223.123.51  | RU | 275ms | 2023-02-28 03:49:56
5.188.7.61:443     | 5.188.7.12     | RU | 341ms | 2023-02-28 03:50:05
