92.223.120.12:443  | 92.223.120.15  | US | 147ms | 2023-02-14 06:30:38
92.38.170.7:443    | 92.38.170.8    | US | 167ms | 2023-02-14 06:30:38
92.223.120.244:443 | 92.223.120.15  | US | 147ms | 2023-02-14 06:30:38
5.188.121.133:443  | 5.188.121.162  | US | 121ms | 2023-02-14 06:30:38
80.93.221.62:443   | 80.93.221.4    | US | 169ms | 2023-02-14 06:30:38
78.111.103.62:443  | 78.111.103.5   | US | 163ms | 2023-02-14 06:30:38
92.223.120.15:443  | 92.223.120.15  | US | 153ms | 2023-02-14 06:30:38
92.38.170.8:443    | 92.38.170.8    | US | 152ms | 2023-02-14 06:30:38
92.223.120.12:443  | 92.223.120.15  | US | 147ms | 2023-02-14 06:30:38
92.223.120.10:443  | 92.223.120.15  | US | 151ms | 2023-02-14 06:30:38
92.223.120.14:443  | 92.223.120.15  | US | 152ms | 2023-02-14 06:30:38
78.111.103.61:443  | 78.111.103.5   | US | 162ms | 2023-02-14 06:30:38
80.93.221.61:443   | 80.93.221.4    | US | 170ms | 2023-02-14 06:30:39
45.65.8.61:443     | 45.65.8.4      | US | 212ms | 2023-02-14 06:30:39
92.223.120.13:443  | 92.223.120.15  | US | 151ms | 2023-02-14 06:30:39
92.223.120.15:443  | 92.223.120.15  | US | 153ms | 2023-02-14 06:30:39
92.223.120.13:443  | 92.223.120.15  | US | 151ms | 2023-02-14 06:30:39
92.223.118.14:443  | 92.223.118.16  | US | 207ms | 2023-02-14 06:30:39
92.223.107.40:443  | 92.223.107.58  | US | 227ms | 2023-02-14 06:30:39
92.38.168.7:443    | 92.38.168.7    | US | 218ms | 2023-02-14 06:30:39
5.188.121.138:443  | 5.188.121.162  | US | 123ms | 2023-02-14 06:30:39
45.65.8.4:443      | 45.65.8.4      | US | 215ms | 2023-02-14 06:30:39
92.223.120.10:443  | 92.223.120.15  | US | 152ms | 2023-02-14 06:30:39
92.223.107.43:443  | 92.223.107.58  | US | 216ms | 2023-02-14 06:30:39
92.223.120.14:443  | 92.223.120.15  | US | 152ms | 2023-02-14 06:30:39
92.223.107.58:443  | 92.223.107.58  | US | 243ms | 2023-02-14 06:30:39
92.223.118.19:443  | 92.223.118.16  | US | 211ms | 2023-02-14 06:30:39
92.38.168.6:443    | 92.38.168.7    | US | 218ms | 2023-02-14 06:30:39
5.188.126.4:443    | 5.188.126.6    | US | 249ms | 2023-02-14 06:30:39
92.223.107.57:443  | 92.223.107.58  | US | 246ms | 2023-02-14 06:30:40
45.65.8.62:443     | 45.65.8.4      | US | 228ms | 2023-02-14 06:30:40
92.223.107.46:443  | 92.223.107.58  | US | 216ms | 2023-02-14 06:30:40
92.38.168.5:443    | 92.38.168.7    | US | 217ms | 2023-02-14 06:30:40
92.223.118.15:443  | 92.223.118.16  | US | 210ms | 2023-02-14 06:30:40
5.188.121.161:443  | 5.188.121.162  | US | 129ms | 2023-02-14 06:30:40
